search_keyword,search_cnt,click_cnt,click_rate
candy pink,110,18,0.1636
ㄴ,201,33,0.1642
이벤트,127,21,0.1654
나 아직도,120,20,0.1667
우리,371,62,0.1671
on & on,125,21,0.168
결의온도,208,35,0.1683
grrr,299,51,0.1706
딥상어,181,31,0.1713
하필오늘비가와,238,41,0.1723
영,115,20,0.1739
island,120,21,0.175
no doubt,193,34,0.1762
붉은백합,101,18,0.1782
ai가수,106,19,0.1792
sea,105,19,0.181
20,138,25,0.1812
활,104,19,0.1827
ㅈ,175,32,0.1829
멜론차트,109,20,0.1835
sun,125,23,0.184
ㅋ,242,45,0.186
바람이 다시 불면,194,37,0.1907
함께라서 빛난 시간,119,23,0.1933
lol,124,24,0.1935
me,133,26,0.1955
8월의 여름,510,100,0.1961
x,351,69,0.1966
radio,232,46,0.1983
춤추는기억,179,36,0.2011
또또,112,23,0.2054
지나간 시간보다 다가올 날들이,136,28,0.2059
you & i,126,26,0.2063
music,116,24,0.2069
야,100,21,0.21
빅,257,54,0.2101
노스텔지아,15879,3337,0.2102
레드,157,33,0.2102
secret,550,118,0.2145
날씨가 좋고 바람도 좋아,177,38,0.2147
young kai,102,22,0.2157
down,185,40,0.2162
i wash,120,26,0.2167
쉬어,175,38,0.2171
동해 (donghae),101,22,0.2178
gold,104,23,0.2212
이런게 행복이지뭐,117,26,0.2222
like you,183,41,0.224
train,136,31,0.2279
소풍한그릇,1149,262,0.228
죽음의 조각을,165,38,0.2303
w,156,36,0.2308
지나간 시간보다 다가올,394,91,0.231
틱탁,272,63,0.2316
what,146,34,0.2329
유희승,179,42,0.2346
바람이 다시불면,106,25,0.2358
다줄게,199,47,0.2362
zero,180,43,0.2389
mia,117,28,0.2393
can,121,29,0.2397
my boy,108,26,0.2407
h,112,27,0.2411
sleep,115,28,0.2435
다큐멘터리,135,33,0.2444
수현,584,143,0.2449
lck,436,108,0.2477
sweet sour,109,27,0.2477
바다 방탄,115,29,0.2522
change,198,50,0.2525
돌맹이,118,30,0.2542
nostalgia,4427,1128,0.2548
정거장에서서,117,30,0.2564
야코,144,37,0.2569
toko toko,179,46,0.257
너는 내게 첫사랑,151,39,0.2583
성리 보라빛엽서,458,119,0.2598
감다살,100,26,0.26
처음,168,44,0.2619
my stupid heart,103,27,0.2621
friend,175,46,0.2629
kiki,265,70,0.2642
midnight,170,45,0.2647
my girl,102,27,0.2647
이런게행복이지,102,27,0.2647
길이 다르니까,340,91,0.2676
remember,241,65,0.2697
wonder,201,55,0.2736
사랑이,135,37,0.2741
푸름과 여름,466,128,0.2747
네 생각,133,37,0.2782
hope,194,54,0.2784
그대,161,45,0.2795
be,132,37,0.2803
ocean,114,32,0.2807
매직,103,29,0.2816
베인,188,53,0.2819
놀면뭐하니,182,52,0.2857
금수저,382,110,0.288
예쁜바람,184,53,0.288
from,287,83,0.2892
신기루,349,102,0.2923
color,109,32,0.2936
에픽카세,153,45,0.2941
국어별동대,553,164,0.2966
cherry,202,60,0.297
our own summer,138,41,0.2971
나랑 결혼해줄래,111,33,0.2973
돈,245,73,0.298
feather,104,31,0.2981
no,292,88,0.3014
이런게 행복이지,315,95,0.3016
김돈규 단,119,36,0.3025
